epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.5773,3.63596,13.1585,1.66267,0.31287,0.06319,0.07477,0.0418,2.93677,8.54446,1.26059,0.00032381,0.00032381,0.00032381
2,23.3241,2.62435,3.37203,1.12569,0.33952,0.47408,0.38453,0.15201,2.34091,4.78568,1.10422,0.000650637,0.000650637,0.000650637
3,29.7307,2.38155,2.24169,1.03919,0.59516,0.48215,0.48633,0.20646,2.1877,2.00725,1.0568,0.000970865,0.000970865,0.000970865
4,35.8572,2.25573,1.87836,1.01323,0.64293,0.63015,0.6124,0.25119,2.17111,1.57142,1.08373,0.0009703,0.0009703,0.0009703
5,41.9406,2.12403,1.54831,0.96647,0.80747,0.66772,0.73618,0.32095,1.98315,1.37663,0.99596,0.0009604,0.0009604,0.0009604
6,48.3677,2.04928,1.41726,0.96174,0.75975,0.71881,0.76103,0.32177,1.98144,1.50339,0.98677,0.0009505,0.0009505,0.0009505
7,54.4795,2.01691,1.31352,0.95537,0.91254,0.78553,0.85125,0.38888,1.89073,1.12214,0.97722,0.0009406,0.0009406,0.0009406
8,60.7098,2.0256,1.3268,0.95272,0.86067,0.70441,0.83761,0.3752,1.87112,1.21402,0.97173,0.0009307,0.0009307,0.0009307
9,67.5824,1.97241,1.25008,0.94812,0.85693,0.71577,0.79953,0.32219,1.97189,1.31644,0.99055,0.0009208,0.0009208,0.0009208
10,73.7942,1.92906,1.19876,0.94163,0.90491,0.78367,0.85565,0.40537,1.80458,1.03768,0.95869,0.0009109,0.0009109,0.0009109
11,80.2522,1.94301,1.1691,0.94219,0.87038,0.76537,0.79393,0.32676,1.97223,1.09366,0.98408,0.000901,0.000901,0.000901
12,86.6617,1.90222,1.10788,0.92852,0.93371,0.82851,0.89185,0.41011,1.83136,1.00072,0.9589,0.0008911,0.0008911,0.0008911
13,92.925,1.88764,1.07111,0.92859,0.92677,0.84796,0.89216,0.43766,1.77713,0.98798,0.95428,0.0008812,0.0008812,0.0008812
14,99.5556,1.83478,1.04333,0.9299,0.90719,0.84468,0.90132,0.42673,1.79816,0.99838,0.95085,0.0008713,0.0008713,0.0008713
15,105.671,1.88667,1.09304,0.92429,0.87648,0.77386,0.83551,0.35285,1.96479,1.08672,0.98229,0.0008614,0.0008614,0.0008614
16,112.022,1.77805,1.01195,0.91679,0.92391,0.79862,0.88212,0.41352,1.81285,1.00129,0.95986,0.0008515,0.0008515,0.0008515
17,118.406,1.81916,1.01598,0.93666,0.93458,0.83947,0.89387,0.42989,1.77129,0.94345,0.95767,0.0008416,0.0008416,0.0008416
18,124.637,1.80341,1.01178,0.918,0.91921,0.85236,0.89912,0.44179,1.73139,0.92247,0.93971,0.0008317,0.0008317,0.0008317
19,130.989,1.79817,1.00743,0.90355,0.9556,0.87544,0.9238,0.43766,1.77949,0.89797,0.94611,0.0008218,0.0008218,0.0008218
20,137.612,1.78788,1.0123,0.91022,0.95686,0.86462,0.91043,0.45737,1.71656,0.89442,0.93507,0.0008119,0.0008119,0.0008119
21,144.066,1.74992,0.97703,0.89815,0.94952,0.8481,0.91372,0.44587,1.77602,0.8914,0.94586,0.000802,0.000802,0.000802
22,150.43,1.84433,1.0172,0.91567,0.9482,0.86636,0.91102,0.45219,1.75629,0.88755,0.94466,0.0007921,0.0007921,0.0007921
23,156.649,1.74768,0.95749,0.90548,0.94032,0.84257,0.91126,0.44731,1.75161,0.89655,0.9376,0.0007822,0.0007822,0.0007822
24,163.096,1.74363,0.94652,0.89915,0.93976,0.86532,0.91841,0.44771,1.73352,0.87632,0.93912,0.0007723,0.0007723,0.0007723
25,169.501,1.73991,0.96914,0.90631,0.94752,0.86218,0.91904,0.45843,1.73632,0.92049,0.93513,0.0007624,0.0007624,0.0007624
26,175.934,1.75358,0.95767,0.9036,0.93883,0.84672,0.91552,0.44948,1.72759,0.86193,0.92973,0.0007525,0.0007525,0.0007525
27,182.361,1.70024,0.88118,0.90288,0.92559,0.84424,0.91786,0.45584,1.73093,0.88391,0.93164,0.0007426,0.0007426,0.0007426
28,188.815,1.70909,0.91672,0.883,0.94994,0.85933,0.92042,0.46387,1.70748,0.88481,0.92459,0.0007327,0.0007327,0.0007327
29,195.146,1.7257,0.94724,0.8933,0.96101,0.8674,0.92226,0.47261,1.73043,0.87034,0.9276,0.0007228,0.0007228,0.0007228
30,201.506,1.7052,0.89616,0.89644,0.94548,0.87925,0.93103,0.47028,1.69103,0.8309,0.92073,0.0007129,0.0007129,0.0007129
31,208.112,1.67935,0.89676,0.88856,0.97415,0.83677,0.93264,0.44432,1.74863,0.86537,0.93097,0.000703,0.000703,0.000703
32,214.052,1.68538,0.88485,0.88757,0.94659,0.87017,0.92352,0.46145,1.71178,0.85405,0.92606,0.0006931,0.0006931,0.0006931
33,220.364,1.69074,0.86046,0.88659,0.94815,0.87406,0.92473,0.44688,1.73066,0.84932,0.93107,0.0006832,0.0006832,0.0006832
34,226.489,1.65762,0.85188,0.89136,0.9543,0.87362,0.93052,0.47398,1.65656,0.85103,0.92008,0.0006733,0.0006733,0.0006733
35,233.168,1.6396,0.84087,0.87595,0.94125,0.90529,0.9419,0.48046,1.65374,0.8104,0.92079,0.0006634,0.0006634,0.0006634
36,239.55,1.62796,0.81891,0.88355,0.95036,0.88952,0.92746,0.46511,1.68284,0.81527,0.92122,0.0006535,0.0006535,0.0006535
37,245.879,1.63422,0.83213,0.8855,0.95089,0.86096,0.9197,0.44616,1.77277,0.84818,0.93689,0.0006436,0.0006436,0.0006436
38,252.103,1.61643,0.83993,0.88525,0.96428,0.86919,0.92424,0.47306,1.67795,0.83724,0.92608,0.0006337,0.0006337,0.0006337
39,258.391,1.67152,0.87304,0.87838,0.95495,0.89918,0.93401,0.48891,1.63933,0.80587,0.91519,0.0006238,0.0006238,0.0006238
40,264.617,1.59636,0.82361,0.86998,0.95836,0.88957,0.93414,0.4748,1.68193,0.82591,0.91703,0.0006139,0.0006139,0.0006139
41,270.873,1.60671,0.81679,0.88333,0.96437,0.88727,0.94039,0.47278,1.66865,0.80228,0.91696,0.000604,0.000604,0.000604
42,277.037,1.6402,0.84434,0.87117,0.94804,0.90933,0.94155,0.47805,1.65139,0.80976,0.91363,0.0005941,0.0005941,0.0005941
43,283.716,1.59916,0.79526,0.86669,0.96801,0.87683,0.93551,0.47133,1.66507,0.80894,0.91459,0.0005842,0.0005842,0.0005842
44,289.74,1.60751,0.81279,0.87186,0.946,0.90594,0.94233,0.49247,1.64807,0.80264,0.91161,0.0005743,0.0005743,0.0005743
45,296.205,1.59693,0.81377,0.86778,0.96884,0.92353,0.94791,0.49317,1.64198,0.744,0.91559,0.0005644,0.0005644,0.0005644
46,302.544,1.59958,0.82744,0.87099,0.96791,0.89275,0.9417,0.48926,1.64625,0.7918,0.91489,0.0005545,0.0005545,0.0005545
47,308.941,1.61893,0.81267,0.87145,0.94873,0.90921,0.93905,0.47869,1.6467,0.78388,0.91163,0.0005446,0.0005446,0.0005446
48,315.216,1.55206,0.787,0.86122,0.9496,0.90094,0.94016,0.45531,1.7375,0.82164,0.92794,0.0005347,0.0005347,0.0005347
49,321.399,1.56805,0.77125,0.86764,0.956,0.89247,0.93658,0.48152,1.64495,0.79222,0.91549,0.0005248,0.0005248,0.0005248
50,327.62,1.56878,0.77381,0.86319,0.96488,0.91324,0.94255,0.48531,1.62564,0.75819,0.91006,0.0005149,0.0005149,0.0005149
51,333.815,1.5403,0.75637,0.87104,0.957,0.89249,0.93756,0.45977,1.70213,0.80319,0.91914,0.000505,0.000505,0.000505
52,339.933,1.56189,0.77115,0.86511,0.96329,0.88264,0.93918,0.45988,1.69456,0.79002,0.91661,0.0004951,0.0004951,0.0004951
53,346.097,1.52274,0.75625,0.86002,0.94371,0.9291,0.9503,0.48904,1.63264,0.75477,0.91253,0.0004852,0.0004852,0.0004852
54,352.616,1.5547,0.7557,0.86462,0.94768,0.91086,0.93829,0.48697,1.627,0.75623,0.9128,0.0004753,0.0004753,0.0004753
55,358.987,1.50932,0.73699,0.86092,0.96553,0.87845,0.93929,0.46947,1.66508,0.75497,0.91505,0.0004654,0.0004654,0.0004654
56,365.346,1.53251,0.74502,0.87508,0.95495,0.91891,0.94848,0.4853,1.63975,0.74858,0.91017,0.0004555,0.0004555,0.0004555
57,371.657,1.53678,0.75901,0.86188,0.95413,0.92842,0.95635,0.49742,1.63139,0.73325,0.90871,0.0004456,0.0004456,0.0004456
58,377.835,1.54277,0.76512,0.8593,0.96392,0.91121,0.9464,0.48628,1.62864,0.73007,0.90815,0.0004357,0.0004357,0.0004357
59,383.962,1.51008,0.72015,0.86198,0.94799,0.91751,0.9417,0.49057,1.64217,0.74838,0.90887,0.0004258,0.0004258,0.0004258
